axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
x,0,0.14328244030475618,0.10672914981842041,23490,23456,-165.0,0,0.004615306,2.3206507e-05,-0.00096693775,0
x,0,0.14328244030475618,0.10672914981842041,8873,8573,-135.0,1,0.007568984,0.0005510041,-0.022958504,1
x,0,0.14328244030475618,0.10672914981842041,19233,18728,-105.0,2,0.005131717,0.0004262684,-0.017761184,2
x,0,0.14328244030475618,0.10672914981842041,8060,8024,-75.0,3,0.007884988,7.17196e-05,-0.0029883166,3
x,0,0.14328244030475618,0.10672914981842041,9211,8636,-45.0,4,0.007478513,0.0010323621,-0.043015085,4
x,0,0.14328244030475618,0.10672914981842041,4220,4172,-15.0,5,0.010915776,0.00018327583,-0.0076364926,5
x,0,0.14328244030475618,0.10672914981842041,4424,4325,15.0,6,0.010689841,0.00036258195,-0.015107581,6
x,0,0.14328244030475618,0.10672914981842041,8906,9198,45.0,7,0.007430397,0.0005168181,0.021534087,7
x,0,0.14328244030475618,0.10672914981842041,7992,8116,75.0,8,0.007878731,0.0002466661,0.010277755,8
x,0,0.14328244030475618,0.10672914981842041,18358,19235,105.0,9,0.005155084,0.0007475187,0.03114661,9
x,0,0.14328244030475618,0.10672914981842041,8862,8875,135.0,10,0.0075086127,2.3485109e-05,0.0009785462,10
x,0,0.14328244030475618,0.10672914981842041,23356,23671,165.0,11,0.004611147,0.00021463113,0.008942964,11
x,1,0.16649549603462221,0.14328244030475618,24452,23868,-165.0,0,0.0045486237,0.00038727134,-0.016136305,12
x,1,0.16649549603462221,0.14328244030475618,9976,9705,-135.0,1,0.0071269386,0.0004412163,-0.018384013,13
x,1,0.16649549603462221,0.14328244030475618,17773,17353,-105.0,2,0.0053349496,0.0003831334,-0.015963892,14
x,1,0.16649549603462221,0.14328244030475618,10192,9745,-75.0,3,0.0070790574,0.00071841787,-0.029934077,15
x,1,0.16649549603462221,0.14328244030475618,7891,7498,-45.0,4,0.008056422,0.00081829814,-0.034095757,16
x,1,0.16649549603462221,0.14328244030475618,2904,2959,-15.0,5,0.013058881,0.0003005884,0.012524516,17
x,1,0.16649549603462221,0.14328244030475618,2964,3041,15.0,6,0.012902678,0.00041087254,0.017119689,18
x,1,0.16649549603462221,0.14328244030475618,7834,7910,45.0,7,0.007969543,0.0001546778,0.0064449077,19
x,1,0.16649549603462221,0.14328244030475618,9847,9941,75.0,8,0.0071087023,0.00015221427,0.006342261,20
x,1,0.16649549603462221,0.14328244030475618,17239,18090,105.0,9,0.005317526,0.0007718406,0.032160025,21
x,1,0.16649549603462221,0.14328244030475618,9962,9950,135.0,10,0.0070866733,1.9310603e-05,-0.0008046084,22
x,1,0.16649549603462221,0.14328244030475618,24118,24353,165.0,11,0.004542029,0.00015535146,0.0064729773,23
x,2,0.18854448497295384,0.16649549603462221,24257,24263,-165.0,0,0.00453983,3.962414e-06,0.00016510059,24
x,2,0.18854448497295384,0.16649549603462221,10820,10543,-135.0,1,0.0068407515,0.000415477,-0.017311541,25
x,2,0.18854448497295384,0.16649549603462221,16902,15943,-105.0,2,0.005513598,0.00093557534,-0.038982306,26
x,2,0.18854448497295384,0.16649549603462221,11372,10902,-75.0,3,0.006697743,0.00067612826,-0.02817201,27
x,2,0.18854448497295384,0.16649549603462221,7123,6812,-45.0,4,0.008467469,0.00071512646,-0.029796936,28
x,2,0.18854448497295384,0.16649549603462221,2696,2747,-15.0,5,0.013553356,0.00030023494,0.012509789,29
x,2,0.18854448497295384,0.16649549603462221,2711,2756,15.0,6,0.013523816,0.00026375023,0.010989593,30
x,2,0.18854448497295384,0.16649549603462221,6789,7274,45.0,7,0.008423647,0.0011050786,0.046044942,31
x,2,0.18854448497295384,0.16649549603462221,10445,11086,75.0,8,0.0068096467,0.0009539448,0.0397477,32
x,2,0.18854448497295384,0.16649549603462221,16301,17120,105.0,9,0.0054671085,0.00078522455,0.03271769,33
x,2,0.18854448497295384,0.16649549603462221,10607,10947,135.0,10,0.006809884,0.0005054526,0.021060526,34
x,2,0.18854448497295384,0.16649549603462221,23918,24626,165.0,11,0.0045378474,0.00046733374,0.01947224,35
x,3,0.21073120534420015,0.18854448497295384,24727,24226,-165.0,0,0.0045192856,0.00032793506,-0.013663961,36
x,3,0.21073120534420015,0.18854448497295384,11603,11200,-135.0,1,0.0066203824,0.00056629465,-0.02359561,37
x,3,0.21073120534420015,0.18854448497295384,15912,15263,-105.0,2,0.0056614666,0.0006670642,-0.027794342,38
x,3,0.21073120534420015,0.18854448497295384,11908,11252,-75.0,3,0.0065662884,0.00090760045,-0.037816685,39
