axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,shift
x,0,0.14328244030475618,0.10672914981842041,21687,21679,-165.0,0,0.0048020347,5.9111235e-06,-0.0002462968,0,-0.00089913345
x,0,0.14328244030475618,0.10672914981842041,8160,7854,-135.0,1,0.007899665,0.0006122814,-0.025511723,1,0.0013299398
x,0,0.14328244030475618,0.10672914981842041,17704,17249,-105.0,2,0.0053480095,0.00041711552,-0.017379813,2,0.00023287348
x,0,0.14328244030475618,0.10672914981842041,7448,7369,-75.0,3,0.008215024,0.00017084263,-0.0071184426,3,0.0042710043
x,0,0.14328244030475618,0.10672914981842041,8496,7949,-45.0,4,0.007790304,0.0010658177,-0.044409066,4,0.0003212057
x,0,0.14328244030475618,0.10672914981842041,3866,3848,-15.0,5,0.011385657,7.476912e-05,-0.0031153802,5,-0.0049100677
x,0,0.14328244030475618,0.10672914981842041,4112,4028,15.0,6,0.011082725,0.000330662,-0.013777583,6,-0.0023636864
x,0,0.14328244030475618,0.10672914981842041,8224,8508,45.0,7,0.007728844,0.00054387597,0.0226615,7,-0.00017084554
x,0,0.14328244030475618,0.10672914981842041,7410,7492,75.0,8,0.008191548,0.00017631883,0.007346618,8,0.003889734
x,0,0.14328244030475618,0.10672914981842041,17077,17781,105.0,9,0.005354154,0.00064714206,0.026964253,9,0.003998423
x,0,0.14328244030475618,0.10672914981842041,8214,8218,135.0,10,0.0078010806,7.800079e-06,0.0003250033,10,0.00058799883
x,0,0.14328244030475618,0.10672914981842041,21588,21714,165.0,11,0.0048055463,9.32378e-05,0.0038849083,11,0.0045919116
x,1,0.16649549603462221,0.14328244030475618,22658,22156,-165.0,0,0.0047232895,0.000358938,-0.01495575,12,-0.0011708234
x,1,0.16649549603462221,0.14328244030475618,9245,9016,-135.0,1,0.007399065,0.00040182818,-0.01674284,13,-0.002001835
x,1,0.16649549603462221,0.14328244030475618,16364,16072,-105.0,2,0.0055520707,0.0002884596,-0.012019149,14,-0.003440746
x,1,0.16649549603462221,0.14328244030475618,9445,9036,-75.0,3,0.007352713,0.0007091323,-0.02954718,15,-0.0006535053
x,1,0.16649549603462221,0.14328244030475618,7296,6926,-45.0,4,0.00838026,0.0008336245,-0.034734353,16,0.00017765164
x,1,0.16649549603462221,0.14328244030475618,2718,2729,-15.0,5,0.013549389,6.4709006e-05,0.0026962087,17,0.007176514
x,1,0.16649549603462221,0.14328244030475618,2749,2845,15.0,6,0.013366717,0.000549893,0.022912208,18,-0.0050332192
x,1,0.16649549603462221,0.14328244030475618,7255,7353,45.0,7,0.008273461,0.0002149635,0.008956812,19,-0.003503892
x,1,0.16649549603462221,0.14328244030475618,9098,9168,75.0,8,0.007398993,0.00012279594,0.0051164976,20,0.0011574035
x,1,0.16649549603462221,0.14328244030475618,15894,16754,105.0,9,0.005530991,0.000844056,0.035169,21,-0.0029705688
x,1,0.16649549603462221,0.14328244030475618,9239,9150,135.0,10,0.0073741484,0.00015508197,-0.006461749,22,0.0057838196
x,1,0.16649549603462221,0.14328244030475618,22255,22493,165.0,11,0.004727181,0.00017042478,0.0071010324,23,-0.00073447917
x,2,0.18854448497295384,0.16649549603462221,22463,22473,-165.0,0,0.0047174008,7.1307472e-06,0.00029711446,24,-0.0007398647
x,2,0.18854448497295384,0.16649549603462221,10048,9777,-135.0,1,0.0071010254,0.00043801148,-0.018250478,25,0.0007071886
x,2,0.18854448497295384,0.16649549603462221,15627,14817,-105.0,2,0.00572763,0.000852536,-0.035522334,26,-0.0028366446
x,2,0.18854448497295384,0.16649549603462221,10586,10102,-75.0,3,0.0069491034,0.0007496461,-0.031235253,27,0.003365092
x,2,0.18854448497295384,0.16649549603462221,6623,6331,-45.0,4,0.008782159,0.0007222846,-0.030095192,28,-0.0016541649
