axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,shift
x,0,0.14328244030475618,0.10672914981842041,23224,23175,-165.0,0,0.004642429,3.383895e-05,-0.0014099563,0,0.000264526
x,0,0.14328244030475618,0.10672914981842041,8705,8410,-135.0,1,0.007641815,0.0005522993,-0.023012472,1,-0.0011693109
x,0,0.14328244030475618,0.10672914981842041,18925,18444,-105.0,2,0.0051722573,0.0004124421,-0.017185088,2,3.8148835e-05
x,0,0.14328244030475618,0.10672914981842041,7935,7920,-75.0,3,0.0079417555,3.0314783e-05,-0.0012631159,3,-0.0015843223
x,0,0.14328244030475618,0.10672914981842041,9076,8498,-45.0,4,0.0075360816,0.001053869,-0.04391121,4,-0.00017664954
x,0,0.14328244030475618,0.10672914981842041,4170,4124,-15.0,5,0.010980095,0.00017771464,-0.0074047768,5,-0.0006206711
x,0,0.14328244030475618,0.10672914981842041,4384,4272,15.0,6,0.010746735,0.00041460086,-0.017275035,6,0.001133766
x,0,0.14328244030475618,0.10672914981842041,8806,9102,45.0,7,0.0074708615,0.00052963174,0.02206799,7,0.000422664
x,0,0.14328244030475618,0.10672914981842041,7856,7983,75.0,8,0.007945317,0.0002569244,0.010705183,8,0.00053116865
x,0,0.14328244030475618,0.10672914981842041,18156,19027,105.0,9,0.0051834066,0.00075059064,0.03127461,9,-0.00031193346
x,0,0.14328244030475618,0.10672914981842041,8722,8735,135.0,10,0.00756859,2.3861798e-05,0.0009942416,10,-8.123944e-05
x,0,0.14328244030475618,0.10672914981842041,22977,23264,165.0,11,0.0046501984,0.00019887679,0.008286533,11,0.0001902869
x,1,0.16649549603462221,0.14328244030475618,24138,23566,-165.0,0,0.004577907,0.00038421174,-0.016008822,12,-0.00011775084
x,1,0.16649549603462221,0.14328244030475618,9816,9565,-135.0,1,0.007182026,0.0004149798,-0.017290825,13,-0.0014538504
x,1,0.16649549603462221,0.14328244030475618,17507,17129,-105.0,2,0.005372668,0.00034969827,-0.0145707615,14,-0.00088913366
x,1,0.16649549603462221,0.14328244030475618,10031,9603,-75.0,3,0.0071336464,0.00069849676,-0.029104032,15,-0.0010966528
x,1,0.16649549603462221,0.14328244030475618,7789,7396,-45.0,4,0.00811023,0.0008292915,-0.03455381,16,-2.8908253e-06
x,1,0.16649549603462221,0.14328244030475618,2880,2915,-15.0,5,0.013135879,0.00019352809,0.00806367,17,0.0018090522
x,1,0.16649549603462221,0.14328244030475618,2930,3013,15.0,6,0.012969452,0.000447509,0.018646209,18,-0.0007672198
x,1,0.16649549603462221,0.14328244030475618,7762,7812,45.0,7,0.008013015,0.00010287249,0.0042863535,19,0.0011665667
x,1,0.16649549603462221,0.14328244030475618,9675,9746,75.0,8,0.007175613,0.000117142954,0.0048809564,20,0.0013929447
x,1,0.16649549603462221,0.14328244030475618,17035,17873,105.0,9,0.005349514,0.00076921633,0.03205068,21,0.00014775246
x,1,0.16649549603462221,0.14328244030475618,9775,9779,135.0,10,0.0071512535,6.5547147e-06,0.0002731131,22,-0.00095104217
x,1,0.16649549603462221,0.14328244030475618,23747,23976,165.0,11,0.0045774877,0.0001537578,0.0064065754,23,-4.002219e-05
x,2,0.18854448497295384,0.16649549603462221,23977,23984,-165.0,0,0.00456621,4.6766972e-06,0.00019486238,24,-0.00063761265
x,2,0.18854448497295384,0.16649549603462221,10682,10415,-135.0,1,0.0068837907,0.00040552721,-0.016896967,25,-0.00064632297
x,2,0.18854448497295384,0.16649549603462221,16680,15743,-105.0,2,0.0055494495,0.00092601025,-0.03858376,26,0.00022478029
x,2,0.18854448497295384,0.16649549603462221,11231,10763,-75.0,3,0.0067401966,0.0006818221,-0.028409252,27,0.0005390905
x,2,0.18854448497295384,0.16649549603462221,7038,6717,-45.0,4,0.008522339,0.00074777997,-0.0311575,28,-0.00059185736
x,2,0.18854448497295384,0.16649549603462221,2674,2715,-15.0,5,0.013621455,0.00024378394,0.010157664,29,0.0006848965
x,2,0.18854448497295384,0.16649549603462221,2668,2724,15.0,6,0.013617058,0.00033278792,0.013866163,30,-0.0008370681
x,2,0.18854448497295384,0.16649549603462221,6733,7195,45.0,7,0.008465046,0.0010628761,0.044286504,31,0.0009295419
x,2,0.18854448497295384,0.16649549603462221,10306,10953,75.0,8,0.006852827,0.00097519363,0.040633067,32,-0.00066708773
x,2,0.18854448497295384,0.16649549603462221,16135,16968,105.0,9,0.005493145,0.00080631935,0.03359664,33,-0.00058283657
x,2,0.18854448497295384,0.16649549603462221,10447,10772,135.0,10,0.006863517,0.00049078115,0.020449214,34,0.0005702842
x,2,0.18854448497295384,0.16649549603462221,23654,24289,165.0,11,0.004566353,0.0004244025,0.017683437,35,0.00072867423
x,3,0.21073120534420015,0.18854448497295384,24522,23999,-165.0,0,0.0045393133,0.0003453833,-0.0143909715,36,0.0008651512
x,3,0.21073120534420015,0.18854448497295384,11510,11101,-135.0,1,0.006648343,0.0005796061,-0.024150254,37,0.00023443997
x,3,0.21073120534420015,0.18854448497295384,15756,15114,-105.0,2,0.0056893704,0.00066638895,-0.027766207,38,0.0003326647
x,3,0.21073120534420015,0.18854448497295384,11781,11138,-75.0,3,0.0066008107,0.000898969,-0.03745704,39,0.00048645213
x,3,0.21073120534420015,0.18854448497295384,6669,6305,-45.0,4,0.008773202,0.00089899433,-0.037458096,40,0.0009863041
x,3,0.21073120534420015,0.18854448497295384,2711,2560,-15.0,5,0.013763713,0.00091793796,-0.038247414,41,-0.0016142502
x,3,0.21073120534420015,0.18854448497295384,2657,2693,15.0,6,0.013671166,0.00021561458,0.008983941,42,-0.0017858949
x,3,0.21073120534420015,0.18854448497295384,6505,6737,45.0,7,0.008687691,0.0005613889,0.023391204,43,0.0009930562
x,3,0.21073120534420015,0.18854448497295384,11091,11552,75.0,8,0.0066431263,0.00065237365,0.027182234,44,0.00033501536
x,3,0.21073120534420015,0.18854448497295384,15250,15488,105.0,9,0.005703468,0.00024810227,0.010337595,45,0.001423996
x,3,0.21073120534420015,0.18854448497295384,11285,11414,135.0,10,0.006637188,0.00018210102,0.0075875428,46,0.00019004429
x,3,0.21073120534420015,0.18854448497295384,23715,24277,165.0,11,0.0045641772,0.00037522943,0.01563456,47,-1.7900951e-05
x,4,0.23393914103507996,0.21073120534420015,24296,23700,-165.0,0,0.0045639174,0.00039789695,-0.01657904,48,0.0001522433
x,4,0.23393914103507996,0.21073120534420015,12084,11759,-135.0,1,0.006475117,0.0004367691,-0.018198712,49,-1.7255545e-05
x,4,0.23393914103507996,0.21073120534420015,14994,14196,-105.0,2,0.00584916,0.0008759882,-0.036499508,50,0.00041043386
x,4,0.23393914103507996,0.21073120534420015,12264,11544,-75.0,3,0.0064756633,0.0009690339,-0.040376414,51,0.00036151707
x,4,0.23393914103507996,0.21073120534420015,6565,6355,-45.0,4,0.00879562,0.0005208182,-0.02170076,52,-1.7607585e-05
x,4,0.23393914103507996,0.21073120534420015,2702,2604,-15.0,5,0.013724114,0.0005918181,-0.024659088,53,0.003895659
x,4,0.23393914103507996,0.21073120534420015,2683,2664,15.0,6,0.013675399,0.000113860435,-0.0047441847,54,0.0007691537
x,4,0.23393914103507996,0.21073120534420015,6325,6463,45.0,7,0.008842063,0.0003457848,0.014407699,55,0.0012848461
x,4,0.23393914103507996,0.21073120534420015,11336,12045,75.0,8,0.006534498,0.0009716562,0.040485673,56,0.0008193813
x,4,0.23393914103507996,0.21073120534420015,14385,15174,105.0,9,0.0058127167,0.00085529644,0.035637353,57,-0.0009491481
x,4,0.23393914103507996,0.21073120534420015,11908,12168,135.0,10,0.006444106,0.00034603375,0.014418072,58,0.00026320852
x,4,0.23393914103507996,0.21073120534420015,23673,23988,165.0,11,0.00458038,0.00021177603,0.008824001,59,-0.0003400026
x,5,0.2590043723583222,0.23393914103507996,23892,23457,-165.0,0,0.0045952797,0.00029437972,-0.012265822,60,9.4439834e-05
x,5,0.2590043723583222,0.23393914103507996,12726,12188,-135.0,1,0.006332828,0.00069193967,-0.028830819,61,0.0005945023
x,5,0.2590043723583222,0.23393914103507996,14204,13717,-105.0,2,0.0059829685,0.00055889133,-0.02328714,62,-0.00067582354
x,5,0.2590043723583222,0.23393914103507996,12304,11574,-75.0,3,0.0064660483,0.0009796126,-0.04081719,63,-0.00060930103
x,5,0.2590043723583222,0.23393914103507996,6638,6244,-45.0,4,0.008803309,0.0009800367,-0.040834863,64,-0.00026143715
x,5,0.2590043723583222,0.23393914103507996,2803,2755,-15.0,5,0.013412566,0.00027672737,-0.011530307,65,-0.00020432193
x,5,0.2590043723583222,0.23393914103507996,2678,2781,15.0,6,0.013530243,0.0006045797,0.02519082,66,0.00015635043
x,5,0.2590043723583222,0.23393914103507996,6413,6480,45.0,7,0.008806687,0.00016651381,0.006938075,67,0.00089129386
x,5,0.2590043723583222,0.23393914103507996,11509,12479,75.0,8,0.0064471704,0.001295708,0.05398783,68,0.00027246028
x,5,0.2590043723583222,0.23393914103507996,13942,14532,105.0,9,0.0059239245,0.00066394627,0.027664429,69,0.00041420758
x,5,0.2590043723583222,0.23393914103507996,12492,12791,135.0,10,0.006288275,0.00037894133,0.015789222,70,-0.00038507767
x,5,0.2590043723583222,0.23393914103507996,23685,23730,165.0,11,0.004592422,3.0410685e-05,0.0012671119,71,0.00021974521
x,6,0.28756390213966365,0.2590043723583222,23503,23277,-165.0,0,0.0046233935,0.00015480239,-0.0064500994,72,-9.429548e-05
x,6,0.28756390213966365,0.2590043723583222,13468,13045,-135.0,1,0.0061400514,0.00051122357,-0.021300983,73,0.00043513253
x,6,0.28756390213966365,0.2590043723583222,14117,13315,-105.0,2,0.006033095,0.0009367988,-0.039033283,74,0.0002991706
x,6,0.28756390213966365,0.2590043723583222,12421,11762,-75.0,3,0.006426245,0.0008731818,-0.036382575,75,-0.0008858815
